Country,Date,"Gross domestic product per capita, constant prices","Gross domestic product, current prices","Inflation, average consumer prices",Unemployment rate,Export,Export Market Growth,Import,Net Trade
Germany,2017-09-01,1.91425,4132.09,1.377,3.858,1672517431706.0225,1662785673850.4324,1432171531697.5073,259650096140.071
Germany,2017-10-01,1.9705000000000001,4146.74,1.4883333333333333,3.824666666666667,1679922510830.1516,1670252705216.2683,1438664736921.2983,260409593461.03333
Germany,2017-11-01,2.0267500000000003,4161.39,1.5996666666666668,3.791333333333333,1687327589954.2808,1677719736582.104,1445157942145.089,261169090781.99567
Germany,2017-12-01,2.083,4176.04,1.711,3.758,1694732669078.41,1685186767947.94,1451651147368.88,261928588102.958
Germany,2018-01-01,2.0109166666666667,4189.945833333333,1.731,3.7281666666666666,1698000507623.7,1689809536504.411,1456185472404.1306,260610382409.78674
Germany,2018-02-01,1.9388333333333334,4203.8516666666665,1.7510000000000001,3.6983333333333333,1701268346168.99,1694432305060.8816,1460719797439.3816,259292176716.6155
Germany,2018-03-01,1.8667500000000001,4217.7575,1.7710000000000001,3.6685,1704536184714.2798,1699055073617.3525,1465254122474.6323,257973971023.44427
Germany,2018-04-01,1.7946666666666669,4231.663333333333,1.7910000000000001,3.6386666666666665,1707804023259.5698,1703677842173.8232,1469788447509.8833,256655765330.273
Germany,2018-05-01,1.7225833333333336,4245.569166666666,1.8110000000000002,3.608833333333333,1711071861804.8599,1708300610730.2942,1474322772545.134,255337559637.10175
Germany,2018-06-01,1.6505,4259.475,1.831,3.5789999999999997,1714339700350.15,1712923379286.7651,1478857097580.3848,254019353943.9305
Germany,2018-07-01,1.5784166666666668,4273.380833333334,1.851,3.549166666666667,1717607538895.44,1717546147843.2358,1483391422615.6357,252701148250.75928
Germany,2018-08-01,1.5063333333333335,4287.286666666667,1.871,3.5193333333333334,1720875377440.73,1722168916399.7068,1487925747650.8865,251382942557.588
Germany,2018-09-01,1.43425,4301.1925,1.891,3.4895,1724143215986.02,1726791684956.1775,1492460072686.1375,250064736864.41675
Germany,2018-10-01,1.3621666666666667,4315.098333333333,1.911,3.4596666666666667,1727411054531.3098,1731414453512.6484,1496994397721.3882,248746531171.2455
Germany,2018-11-01,1.2900833333333335,4329.004166666667,1.931,3.4298333333333333,1730678893076.5999,1736037222069.1191,1501528722756.6392,247428325478.07428
Germany,2018-12-01,1.218,4342.91,1.951,3.4,1733946731621.89,1740659990625.59,1506063047791.89,246110119784.903
Germany,2019-01-01,1.1433333333333333,4351.298333333333,1.9005833333333335,3.379833333333333,1735057347874.9973,1742844819321.5684,1508967479311.9082,243718331264.269
Germany,2019-02-01,1.0686666666666667,4359.6866666666665,1.8501666666666667,3.3596666666666666,1736167964128.105,1745029648017.5469,1511871910831.9265,241326542743.635
Germany,2019-03-01,0.994,4368.075,1.79975,3.3395,1737278580381.2124,1747214476713.5251,1514776342351.9448,238934754223.001
Germany,2019-04-01,0.9193333333333333,4376.463333333333,1.7493333333333334,3.3193333333333332,1738389196634.3198,1749399305409.5034,1517680773871.9634,236542965702.367
Germany,2019-05-01,0.8446666666666667,4384.8516666666665,1.6989166666666669,3.2991666666666664,1739499812887.4275,1751584134105.4817,1520585205391.9817,234151177181.733
Germany,2019-06-01,0.77,4393.24,1.6485,3.279,1740610429140.535,1753768962801.46,1523489636912.0,231759388661.099
Germany,2019-07-01,0.6953333333333334,4401.628333333333,1.5980833333333333,3.2588333333333335,1741721045393.6423,1755953791497.4385,1526394068432.0183,229367600140.46503
Germany,2019-08-01,0.6206666666666667,4410.016666666666,1.5476666666666667,3.2386666666666666,1742831661646.75,1758138620193.4167,1529298499952.0366,226975811619.83102
Germany,2019-09-01,0.546,4418.405,1.4972500000000002,3.2184999999999997,1743942277899.8574,1760323448889.395,1532202931472.0552,224584023099.19702
Germany,2019-10-01,0.4713333333333334,4426.793333333333,1.4468333333333334,3.1983333333333333,1745052894152.9648,1762508277585.3735,1535107362992.0735,222192234578.56302
